S.No,COMMENT,CATEGORY
169,Be careful with Pay later scams,Negative
170,Don’t use such a worst choice ,Negative
171,Fake company,Negative
172,Waste of Time,Negative
173,I love your videos,Positive
174,Yes,Positive
175,Amazing app,Positive
176,This is scam,Negative
177,This is fake company,Negative
178,This is amazing,Positive
179,Nice video,Positive
180,I badly disappointed,Negative
181,This is fabulous,Positive
182,This is worst application,Negative
183,Don’t shop in ths shop ,Negative
184,Worst customer support in this app,Negative
185,Awesome art,Positive
186,Respect,Positive
187,Wow,Positive
188,Perfect,Positive
189,Wow perfect,Positive
190,don't buy from this app,Negative
191,Very rude,Negative
192,Fake account,Negative
193,Love it,Positive
194,Very nice,Positive
195,This is very nice,Positive
196,This is very beautiful,Positive
197,How beautiful,Positive
198,So lovely,Positive
199,Wow super,Positive
200,Look so beautiful,Positive
201,Please avoid this app,Negative
202,Excited to receive it,Positive
203,I am really very excited to receive it,Positive
204,Aww thankyou,Positive
205,Help,Neutral
206,I need help,Neutral
207,I am addicted to this,Positive
208,This is so graceful,Positive
209,Pathetic servive,Negative
210,Outfit details please,Positive
211,So beautiful ,Positive
212,Very Worst service,Negative
213,Very bad service,Negative
214,Poor quality service,Negative
215,Team like,positive
216,I have been scamed by this app,Negative
217,Love this look,Positive
218,Need improvement in your videos quality,Neutral
219,Cool ,Positive
220,So amazing,positive
221,I love this look,Positive
222,So cute,Positive
223,Very costly,Neutral
224,This is very costly,Neutral
225,So smart,Positive
226,This is so smart,Positive
227,So sweet ,Positive
228,This is so sweet ,positive
229,I love it,Positive
230,Good look,positive
231,Amazing strategy,Neutral
232,All outfits are really very nice,Positive
233,Great video,Positive
234,Nice song,Positive
235,Nice choice of song,Positive
236,Always looking cool,Positive
237,So nice,Positive
238,This is super,Positive
239,Your voice is so pretty,positive
240,Both are amazing ,Positive
241,All are amazing ,Positive
242,Very good product,positive
243,Very cheap quality,Negative
244,Duplicate product,Negative
245,Please share the link ,Positive
246,Customer care service is poor,Negative
247,Creativity,Positive
248,What a creativity,Neutral
249,Creativity level,Neutral
250,Nice song selection,Positive
251,Nice one,Positive
252,Nice  creativity,Positive
253,She is so beautiful,Positive
254,Please stop online shopping,Negative
255,Most classy one,Positive
256,Gorgeous,Positive
257,She look gorgeous,Positive
258,He look gorgeous,Positive
259,They look gorgeous,Positive
260,Great,Positive
261,Very great,Positive
262,No more trust on this app,Negative
263,I lost trust in this app,Negative
264,Oh,Neutral
265,Super,Positive
266,Oh super,Positive
267,Oh my god   ,Neutral
268,I have received wrong intems,Negative
269,Tramautic experience,Neutral
270,You guys are terrible,Neutral
271,Please don't buy from this app very bad service,Negative
272,Keep it up,Positive
273,Looking forward,Positive
274,Hi guys,Positive
275,How to order this,positive
276,Happy birthday,Positive
277,please wish me happy birthday,Neutral
278,God bless you,Positive
279,Looking great,Positive
280,Living in the dream,Positive
281,Legends in one frame,Positive
282,Handsome,Positive
283,Looking handsome,positive
284,Mind blowing,Positive
285,I love you guys,Positive
286,Get well soon,Positive
287,Most adorable couples,Positive
288,Cutest couple ever,Positive
289,Looking beautiful,Positive
290,You looking gorgeous,positive
291,Very pretty,Positive
292,Looking pretty,Positive
293,You looking pretty,Positive
294,Not so good,Neutral
295,Classy work,Positive
296,Lovely,Positive
297,Huge fan of your videos,positive
298,Mouthwatering receipes,Positive
299,One of the most graceful dancers I have ever seen,Positive
300,Last performance was awesome,Positive
301,Everything was nice,Positive
302,Needs more videos based on this,positive
303,First one was amazing,positive
304,This is so good,Positive
305,Always special,Positive
306,This is always special ,Positive
307,I need to order,Positive
308,How can we order,Positive
309,Lovely,Positive
310,The best ,Positive
311,My favorite one,positive
312,Perect one,Positive
313,This is favorite one,Positive
314,love these,Positive
315,Need this products,Positive
316,Love everything,positive
317,obsessed ,Neutral
318,I am obessed with this,Neutral
319,The best one,Positive
320,Love this one,Positive
321,The best product,Positive
322,price please,Positive
323,Really bad experience with this product,Negative
324,Really bad experience with this company product,Negative
325,I love these products,positive
326,This is fake account,Neutal
327,Hey guys,Positive
328,Great produts,positive
329,what a fascinating products,Positive
330,Must have ,Positive
331,Must have all of this,positive
332,Mind blowing products,Positive
333,My favorites,positive
334,Too expensive,Neutral
335,Love the edit,Positive
336,Nice,Positive
337,This is so nice,Positive
338,Stunning,Positive
339,This looks stunning,Positive
340,You always post such a good content,Positive
341,So gorgeous,Positive
342,Stunning dress,Positive
343,Interesting,Neutral
344,Not bad,Neutral
345,Fair enough,Neutral
346,This is fair enough,Neutral
347,Not so bad,Neutral
348,Decent,Neutral
349,This is decent one,Neutral
350,okay,Neutral
351,Good post,Neutral
352,Noted,Neutral
353,I noted this,Neutral
354,very bad video,Negative
355,very bad recommendation,Negative
356,this is very bad content,Negative
